rank;company;country;region;industry;rnd;rndGrowth;sales;salesGrowth;rndIntensity;capex;capexGrowth;capexIntensity;opProfits;opProfitsGrouth;profitability;employees;employeesGrowth;marketCap;marketCapGrowth
57;SK HYNIX;South Korea;RoW;Technology Hardware & Equipment;3086.9;25;31993.7;34.8;9.6;10015.7;23.8;31.3;9234.3;147.6;28.9;;;57690.1;41.8
58;TATA MOTORS;India;RoW;Automobiles & Parts;3067;46.5;32705.7;10.9;9.4;1074.1;-23.2;3.3;515.6;-157.8;1.6;73608;-2.2;11337.3;115.7
59;MEDIATEK;Taiwan;RoW;Technology Hardware & Equipment;3063.6;24.3;15733;53.2;19.5;541.6;239.7;3.4;3470.4;149.8;22.1;;;45930.5;63
60;AIRBUS;Netherlands;EU;Aerospace & Defence;2898;-2.1;52149;4.5;5.6;1900;8;3.6;5266;-945.3;10.1;126495;-3.7;90942.6;68.5
61;SAIC MOTOR;China;China;Automobiles & Parts;2854.5;37.6;102623;5.1;2.8;2597.7;23.8;2.5;1882.7;1.8;1.8;207246;1.2;31284.9;3.5
62;CHINA RAILWAY CONSTRUCTION;China;China;Construction & Materials;2807.2;8.9;139565.5;12;2;4556.5;4.7;3.3;5340.2;10.5;3.8;267760;-6.5;12164.7;-14.6
63;VMWARE;US;US;Software & Computer Services;2754.7;10.8;11346.5;9.2;24.3;340.8;17.3;3;2108.4;-1.7;18.6;37500;10.3;14659.6;1.8
64;VERTEX PHARMACEUTICALS;US;US;Pharmaceuticals & Biotechnology;2693.9;66.8;6687.6;22.1;40.3;207.5;-9.5;3.1;2453.6;-2.7;36.7;3900;14.7;45877.5;-28.5
65;LG ELECTRONICS;South Korea;RoW;Leisure Goods;2676.9;1.7;55598.8;28.7;4.8;2425;5.7;4.4;2875;-1.1;5.2;;;17290.9;68.6
66;HITACHI;Japan;Japan;Electronic & Electrical Equipment;2658.1;12.7;79352.6;17.6;3.3;2295.8;16.6;2.9;5058;-18.1;6.4;368247;5;45547.1;72.4
67;CONTINENTAL;Germany;EU;Automobiles & Parts;2636.6;-25.8;38197.9;1.3;6.9;1825.8;-6;4.8;2136.3;-391.6;5.6;190875;-19.3;22812.7;25.1
68;REGENERON PHARMACEUTICALS;US;US;Pharmaceuticals & Biotechnology;2567.6;6.3;14190.1;89.1;18.1;487.3;-10.2;3.4;7899.3;150.1;55.7;10368;13.6;62492.2;9.2
69;ADVANCED MICRO DEVICES;US;US;Technology Hardware & Equipment;2511.9;43.5;14510;68.3;17.3;265.8;2.4;1.8;3210.3;165.6;22.1;15500;23;118576.3;26
70;ZTE;China;China;Technology Hardware & Equipment;2498.4;20.7;15317.9;8.9;16.3;788.1;142.3;5.1;1048.1;59.1;6.8;72584;-1.5;17868.4;-4.9
71;ZF;Germany;EU;Automobiles & Parts;2466;21.8;38313;17.5;6.4;1605;25.6;4.2;1421;-1193.1;3.7;157549;2.6;;
72;ASML HOLDING;Netherlands;EU;Technology Hardware & Equipment;2431.1;17.5;18611;33.1;13.1;900.7;-6.4;4.8;7043.9;66;37.8;32016;14;291190.4;117.7
73;MEDTRONIC PUBLIC LIMITED;Ireland;EU;Health Care Equipment & Services;2424.5;10.1;27976.3;5.2;8.7;1207.8;1;4.3;5179.2;27.2;18.5;95000;5.6;158382.7;24.3
74;RAYTHEON TECHNOLOGIES;US;US;Aerospace & Defence;2412.1;5.8;56849.7;13.8;4.2;1884.2;18.9;3.3;4503.8;-370;7.9;174000;-3.9;112844.5;37.2
75;MERCK DE;Germany;EU;Pharmaceuticals & Biotechnology;2400;6.1;19687;12.3;12.2;1066;-24.6;5.4;4115;39.2;20.9;60334;3.9;26119.9;77.1
76;ABBOTT LABORATORIES;US;US;Pharmaceuticals & Biotechnology;2386.5;15.1;38032;24.5;6.3;1664.3;-13.4;4.4;7582.6;54.9;19.9;113000;3.7;197802.3;15.6
77;RENAULT;France;EU;Automobiles & Parts;2361;-14.1;46213;6.3;5.1;1824;-32.6;3.9;946;-171;2;156466;-8;9300.5;31.9
78;MICRON TECHNOLOGY;US;US;Technology Hardware & Equipment;2351.2;2.4;24461.4;29.3;9.6;8855.7;22;36.2;5978.3;121.1;24.4;43000;7.5;73254.5;64.1
79;HYUNDAI MOTOR;South Korea;RoW;Automobiles & Parts;2305.1;0;87511.6;13.1;2.6;4361.3;-8.3;5;4969.7;178.9;5.7;;;33784.5;20.4
80;TESLA;US;US;Automobiles & Parts;2289.4;73.9;47521.6;70.7;4.8;5751.4;101.5;12.1;5646.3;220.7;11.9;99290;40.3;643098.8;57.7
81;DELL TECHNOLOGIES;US;US;Technology Hardware & Equipment;2275.3;-51.1;89349.3;16.8;2.5;2468.7;34.3;2.8;4206.2;19.2;4.7;133000;-15.8;25027.5;64.6
82;MEITUAN;China;China;General Retailers;2250.7;53.4;24826.8;56;9.1;1248.8;-19.7;5;-3256.7;608;-13.1;100033;44.5;153692.3;3.3
83;BASF;Germany;EU;Chemicals;2248;4.6;78598;28.9;2.9;3532;12.9;4.5;7693;113.7;9.8;111047;0.7;60417.5;28.8
84;ADOBE;US;US;Software & Computer Services;2242.6;16.1;13937;22.7;16.1;307.3;-16.9;2.2;5309.9;36;38.1;25988;15.4;279168.8;28.4
85;POWER CONSTRUCTION CORPORATION OF CHINA;China;China;Construction & Materials;2231;5.4;61611.8;11.9;3.6;5883.1;-40.4;9.5;3690.3;1.4;6;133207;0.8;9591.9;52.6
86;CANON;Japan;Japan;Technology Hardware & Equipment;2221.3;5.5;27160.7;11.2;8.2;1371;7.7;5;2179.4;155;8;184034;1.2;26927;42.5
87;BIOGEN;US;US;Pharmaceuticals & Biotechnology;2208.4;-37.3;9696;-18.3;22.8;243.8;-44.8;2.5;2514.5;-39.3;25.9;9610;5.6;44595.5;10.9
88;GENERAL ELECTRIC;US;US;General Industrials;2204.7;-2.7;65509.4;-2.2;3.4;1103.7;-20.8;1.7;2434.2;-299.9;3.7;168000;-3.4;102375.9;108.9
89;APPLIED MATERIALS;US;US;Technology Hardware & Equipment;2193.2;11.2;20362.9;34.1;10.8;589.8;58.3;2.9;6357.1;64.9;31.2;27000;12.5;107728;116.9
90;NOVO NORDISK;Denmark;EU;Pharmaceuticals & Biotechnology;2192.4;18.8;18947.1;10.9;11.6;852.5;8.8;4.5;7891.6;8.3;41.7;47792;5.4;149724.9;48.6
91;METALLURGICAL CORPORATION OF CHINA;China;China;General Industrials;2188.9;29;68834.4;25.1;3.2;492.2;-5.1;0.7;2769.8;13.1;4;97972;-3;1007.7;133.1
92;PETROCHINA;China;China;Oil & Gas Producers;2113.8;6.8;362343.3;35.2;0.6;36259.6;5.3;10;25018.3;120.8;6.9;417173;-3.4;8146.2;27.2
93;HSBC;UK;Row;Banks;2095.2;22.7;46440;1.1;4.5;958.9;-24.9;2.1;16692.6;115.4;35.9;220000;-2.7;93568.9;17.3
94;KUAISHOU TECHNOLOGY;China;China;Media;2055.8;128.6;11237.7;37.9;18.3;1076.1;31.4;9.6;-3808.1;161.8;-33.9;28098;30.7;32471.2;
95;DAIICHI SANKYO;Japan;Japan;Pharmaceuticals & Biotechnology;2011.7;14.5;8077.8;8.6;24.9;485;100.8;6;564.6;14.5;7;16458;2.7;39353.3;-24
96;NETFLIX;US;US;General Retailers;2007.7;14.6;26220.9;18.8;7.7;463.2;5.4;1.8;5469.3;8.9;20.9;11300;20.2;222427.2;7.9
97;WESTERN DIGITAL;US;US;Technology Hardware & Equipment;1980.4;-0.8;14940.8;1.1;13.3;1011.8;77.1;6.8;1081.6;171;7.2;65600;2.8;17228.4;67.9
98;NETEASE;China;China;Software & Computer Services;1950.9;35.7;12142;18.9;16.1;222;51.7;1.8;2275.4;12.9;18.7;32064;13.5;55433.5;-8.9
99;ELECTRONIC ARTS;US;US;Software & Computer Services;1930.1;22.9;6172.5;24.2;31.3;166;51.6;2.7;996.7;7.9;16.1;12900;17.3;36486.1;2.6
100;ASTELLAS PHARMA;Japan;Japan;Pharmaceuticals & Biotechnology;1901.8;9.6;10020.3;3.7;19;237.6;-2.1;2.4;1140.4;6.6;11.4;14522;-6;26727.7;11.6
101;NESTLE;Switzerland;RoW;Food Producers;1839.9;7.6;84246.8;3.3;2.2;4720.8;19.7;5.6;11298;-21.1;13.4;276000;1.1;322568.5;6.6
102;PAYPAL;US;US;Financial Services;1820.6;18;22400.7;18.3;8.1;801.7;4.8;3.6;3794.8;26.5;16.9;30900;16.6;299474.4;41.6
103;UBER TECHNOLOGIES;US;US;Software & Computer Services;1813.5;-3.1;15411.4;56.7;11.8;263.1;-51.6;1.7;-3385.1;-38.1;-22;29300;28.5;65118.6;25.1
104;VOLVO;Sweden;EU;Industrial Engineering;1802;13.6;36361.5;10;5;860.5;53.7;2.4;4100.5;42.9;11.3;95850;-0.4;30281;18.6
105;BOEING;US;US;Aerospace & Defence;1797.6;-9.6;54993.8;6.2;3.3;865.3;-24.8;1.6;-2747.7;-74.7;-5;142000;0.7;113597.3;32.7
106;OTSUKA;Japan;Japan;Pharmaceuticals & Biotechnology;1795.8;7.1;11582.7;5.3;15.5;405.5;7.5;3.5;1156.8;-18.6;10;33226;0.2;20186.6;0.5
107;PROCTER & GAMBLE;US;US;Household Goods & Home Construction;1765.8;5.3;70799;5.3;2.5;2786.5;13.2;3.9;15947.4;-1.3;22.5;106000;5;305286.7;0.4
108;HEWLETT PACKARD ENTERPRISE;US;US;Software & Computer Services;1747.3;5.6;24531.2;3;7.1;2209.1;5;9;1865.6;192.3;7.6;60400;1.7;17854.9;62.6
109;NXP SEMICONDUCTORS;Netherlands;EU;Technology Hardware & Equipment;1708.5;14.8;9767.8;28.5;17.5;677.2;95.7;6.9;2656.7;320.8;27.2;31078;7.5;50360.6;62.4
110;CRRC CHINA;China;China;Industrial Engineering;1706.6;-3.6;30410.6;-1.2;5.6;818.7;-24;2.7;1643.3;-17.7;5.4;160656;-2.1;22759.5;15.2
111;HP;US;US;Technology Hardware & Equipment;1683.7;29;56054.2;12.1;3;513.9;0.3;0.9;4957.6;42.5;8.8;51000;-3.8;30263;27.6
112;MIDEA GROUP;China;China;Household Goods & Home Construction;1665.2;18.7;42506.3;18;3.9;946;46.6;2.2;3786;8.2;8.9;165799;11.1;62401.1;-6.7
113;WORKDAY;US;US;Software & Computer Services;1659.2;9.2;4537.2;19;36.6;384.8;67.9;8.5;-102.8;-53.2;-2.3;15200;21.6;46065.3;23
114;XIAOMI;China;China;Technology Hardware & Equipment;1635.6;40;45503;33.5;3.6;993.7;137;2.2;2776.3;105;6.1;33427;51.4;57794.8;23.3
115;RIVIAN AUTOMOTIVE;US;US;Automobiles & Parts;1633.4;141.5;48.6;;3363.6;1584;96.3;3261.8;-3725.9;313.3;-7672.7;10422;227.9;81708;
116;LENOVO;China;China;Technology Hardware & Equipment;1632.1;42.7;63233.4;17.9;2.6;881.4;43.2;1.4;2719.9;41.3;4.3;75000;4.9;11752.6;66.8
117;INFINEON TECHNOLOGIES;Germany;EU;Technology Hardware & Equipment;1632;30.2;11060;29.1;14.8;1268;38.6;11.5;1470;153;13.3;50288;7.8;47150.3;55.4
118;CHINA PETROLEUM & CHEMICAL;China;China;Oil & Gas Producers;1591.2;13.8;379880.7;51.1;0.4;17735.7;-2.8;4.7;17312.1;434.4;4.6;385691;0.4;56419.9;5.7
119;PHILIPS;Netherlands;EU;General Industrials;1578;-7.5;18672;-4.4;8.5;397;-18.1;2.1;729;-52.7;3.9;78189;4.3;35815.3;-0.8
120;VALEO;France;EU;Automobiles & Parts;1555;-0.2;17262;5;9;749;-13.1;4.3;406;-151.7;2.4;103300;-6.3;5804.2;-5.9
121;SOFTBANK;Japan;Japan;Software & Computer Services;1551.4;12.7;48096.9;10.5;3.2;6455.7;29.1;13.4;-18010.3;-128.7;-37.4;59721;1.6;82328.8;-22.8
122;INTUIT;US;US;Software & Computer Services;1545.1;19;8505.2;25.4;18.2;46.8;-10.2;0.6;2207.3;14.9;26;13500;27.4;136500.1;71
123;SCHNEIDER;France;EU;Electronic & Electrical Equipment;1539;9.4;28905;14.9;5.3;543;12;1.9;4342;40.4;15;147468;0.1;86094.8;46.3
124;DANAHER;US;US;Electronic & Electrical Equipment;1538.1;29.2;26004.8;32.2;5.9;1142.5;63.6;4.4;6591;76.4;25.3;80000;15.9;204324.2;58
125;UCB;Belgium;EU;Pharmaceuticals & Biotechnology;1519;1.3;5471;8.3;27.8;282;10.2;5.2;1291;30;23.6;8561;2.3;18843.7;-2.7
126;MITSUBISHI ELECTRIC;Japan;Japan;Electronic & Electrical Equipment;1508.6;2.4;34608.5;6.8;4.4;1038.5;-20.5;3;1948.5;15.6;5.6;145696;0;24990.4;2.9
127;AISIN;Japan;Japan;Automobiles & Parts;1501;2.3;30284.5;11.1;5;1683.6;8.7;5.6;1407.1;23.3;4.6;117177;-1;9402.2;15.4
128;CATERPILLAR;US;US;Industrial Engineering;1488.6;19.2;45003.5;22.1;3.3;2182.6;16.9;4.8;6609.6;37.2;14.7;107700;10.7;101929.4;49.8
129;BYD;China;China;Electronic & Electrical Equipment;1459.1;25.7;29285.7;37.7;5;1366.8;65.3;4.7;382.7;-70.5;1.3;288200;28.5;44344.5;228.6
130;BOE TECHNOLOGY GROUP;China;China;Electronic & Electrical Equipment;1450.3;31.8;29674.1;63.7;4.9;4943.8;-19.3;16.7;5554.6;290.8;18.7;79461;3.9;400.6;19.6
131;BAOSHAN IRON & STEEL;China;China;Industrial Metals & Mining;1437.4;41;50104.2;29.8;2.9;3315.6;20.4;6.6;4107.4;106.7;8.2;45405;-4.8;31370.8;106.8
132;LAM RESEARCH;US;US;Technology Hardware & Equipment;1416.4;7.4;15210.2;17.8;9.3;482.1;56.4;3.2;4751.7;20.1;31.2;;;75804.7;75.3
133;DEERE;US;US;Industrial Engineering;1401.2;-0.1;38788.6;23.6;3.6;2277.9;-2.9;5.9;7456.3;53.3;19.2;75550;8.5;103489.8;78.1
134;NOVAVAX;US;US;Pharmaceuticals & Biotechnology;1400.1;224.5;1012.1;141;138.3;50.8;5.2;5;-1489.1;304.7;-147.1;1541;94.8;15687.3;162.8
135;GEELY SWEDEN HOLDINGS;Sweden;EU;Construction & Materials;1389.5;-3;;;;1186.7;;;;;;;;;
136;STMICROELECTRONICS;Netherlands;EU;Technology Hardware & Equipment;1380.9;17;11238.7;25;12.3;1615.8;42.6;14.4;2162.3;104.4;19.2;48254;4.9;34341.8;49.6
137;TEXAS INSTRUMENTS;US;US;Technology Hardware & Equipment;1372.1;1.6;16196.4;26.9;8.5;2173.8;279.4;13.4;8002.8;53.1;49.4;31000;3.3;155615.4;35.4
138;SHANGHAI CONSTRUCTION;China;China;Construction & Materials;1357.5;21.7;38550.1;21.2;3.5;496;42.5;1.3;1010.8;9.6;2.6;51369;5.7;3418.5;-12.9
139;SYNGENTA;Switzerland;RoW;Chemicals;1346.5;15.2;14774;17.1;9.1;555.4;13.3;3.8;2129.6;2.8;14.4;;;;
140;AT&T;US;US;Fixed Line Telecommunications;1343.8;25.8;149094.1;-1.7;0.9;14592.1;5.4;9.8;20534.2;325.3;13.8;203000;-11.7;172857.8;-7.8
141;SIEMENS ENERGY;Germany;EU;Alternative Energy;1343;14.2;28482;3.7;4.7;987;6.5;3.5;-357;-82.2;-1.3;92000;0;17807.3;7.4
142;TWITTER;US;US;Software & Computer Services;1335;53.9;4483;36.6;29.8;893.1;15.8;19.9;315.8;1902.8;7;7500;36.4;45443.1;60.4
143;SYNOPSYS;US;US;Software & Computer Services;1330.4;17.4;3712;14.1;35.8;82.8;-39.4;2.2;678.3;21.5;18.3;16361;8.8;44735.6;50.9
144;SUMITOMO CHEMICAL;Japan;Japan;Chemicals;1329.1;-1.6;21377.9;20.9;6.2;830.8;-11;3.9;1330.5;31.5;6.2;34703;-0.1;7141.2;61.7
145;SNAP;US;US;Technology Hardware & Equipment;1327.3;41.3;3635;64.2;36.5;61.7;20.8;1.7;-619.9;-18.6;-17.1;5661;46.5;89095.5;268.8
146;BANCO SANTANDER;Spain;EU;Banks;1325;18;48846;4.8;2.7;10015;35.6;20.5;14547;-800.7;29.8;197070;3.1;54232.9;75.2
147;LOCKHEED MARTIN;US;US;Aerospace & Defence;1324.4;15.4;59194.8;2.5;2.2;1343.8;-13.8;2.3;8086.7;5.6;13.7;114000;0;87969.7;-8.7
148;DIDI;China;China;Software & Computer Services;1304.9;49;24092.1;22.6;5.4;917.5;14.2;3.8;-6713.9;251.3;-27.9;24396;53.3;31599;
149;INCYTE;US;US;Pharmaceuticals & Biotechnology;1287.5;-33.4;2636.6;12;48.8;159.8;-3.4;6.1;562.9;-422.8;21.3;2094;18.1;14914.1;-19.8
150;EBAY;US;US;General Retailers;1282;19.4;9200.1;17.2;13.9;392;-10.1;4.3;2964;12.7;32.2;10800;-15;44044.9;30.1
151;TDK;Japan;Japan;Electronic & Electrical Equipment;1277.5;30.1;14704.8;28.6;8.7;2252.2;37.2;15.3;1285;49;8.7;116808;-9.7;11591.2;5.1
152;AIRBNB;US;US;Travel & Leisure;1258.2;-48.2;5290.3;77.4;23.8;22.4;-32.2;0.4;382.8;-112.4;7.2;6132;9.6;46055.5;259.2
153;MARVELL TECHNOLOGY;US;US;Technology Hardware & Equipment;1257.6;32.8;3939.9;50.3;31.9;149.5;58.5;3.8;-278.4;52.6;-7.1;6729;26;;
154;GREAT WALL MOTOR;China;China;Automobiles & Parts;1253.2;75.6;17907.4;31.5;7;1814.4;62.4;10.1;694.7;-9.6;3.9;77934;23.4;12563.8;325.7
155;TRIP.COM GROUP;China;China;Travel & Leisure;1246.3;17.3;2775.1;9.3;44.9;79;7.1;2.8;-195.6;-0.8;-7;33732;1;16326.1;
